SHIP_ID,ITINERARY_ID,DURATION,CRUISE_AREA
150013,387621,7,Caribbean & Central America
150013,387623,7,Caribbean & Central America
150013,374051,7,Eastern Mediterranean
150013,387625,7,Caribbean & Central America
150013,387627,7,Caribbean & Central America
150013,387629,7,Caribbean & Central America
150013,387631,7,Caribbean & Central America
150013,374061,7,Eastern Mediterranean
150013,387633,7,Caribbean & Central America
150013,387635,7,Caribbean & Central America
150013,387637,7,Caribbean & Central America
150013,374071,6,Western Mediterranean
150014,267445,7,Western Mediterranean
150014,267447,7,Western Mediterranean
150014,267449,7,Western Mediterranean
150014,267451,7,Western Mediterranean
150014,310547,7,Western Mediterranean
150014,310549,7,Western Mediterranean
150014,277227,7,Western Mediterranean
150014,307715,7,Western Mediterranean
150014,307721,7,Western Mediterranean
150014,307727,7,Western Mediterranean
150014,307733,7,Western Mediterranean
150014,389263,7,Western Mediterranean
150014,389265,7,Western Mediterranean
150014,389267,7,Western Mediterranean
150014,321873,19,Caribbean & Central America
150014,321881,21,Caribbean & Central America
150014,321895,15,Caribbean & Central America
150014,321907,7,Caribbean & Central America
150014,321911,7,Caribbean & Central America
150014,321913,7,Caribbean & Central America
150014,321915,7,Caribbean & Central America
150014,321917,7,Caribbean & Central America
150014,388677,7,Western Mediterranean
150014,388679,7,Western Mediterranean
150014,388681,7,Western Mediterranean
150014,388683,7,Western Mediterranean
150014,388685,7,Western Mediterranean
150014,388687,7,Western Mediterranean
150014,388689,7,Western Mediterranean
150014,388691,7,Western Mediterranean
150014,388693,7,Western Mediterranean
150014,388695,7,Western Mediterranean
150014,388697,7,Western Mediterranean
150014,388699,7,Western Mediterranean
150014,388701,7,Western Mediterranean
150014,388703,7,Western Mediterranean
150014,388705,7,Western Mediterranean
150014,388707,7,Western Mediterranean
150014,387737,15,Caribbean & Central America
150014,387739,15,Caribbean & Central America
150014,387741,15,Caribbean & Central America
150014,387743,21,Caribbean & Central America
150014,387745,21,Caribbean & Central America
150014,387747,21,Caribbean & Central America
150014,387749,19,Caribbean & Central America
150014,389163,7,Caribbean & Central America
150014,389165,7,Caribbean & Central America
150014,387603,7,Caribbean & Central America
150014,387605,7,Caribbean & Central America
150014,387607,7,Caribbean & Central America
150014,387609,7,Caribbean & Central America
150014,387611,7,Caribbean & Central America
150014,387613,7,Caribbean & Central America
150014,387615,7,Caribbean & Central America
150014,387617,7,Caribbean & Central America
150014,387619,7,Caribbean & Central America
150014,374081,7,Western Mediterranean
150014,374091,7,Western Mediterranean
150014,374101,7,Western Mediterranean
150014,374111,7,Western Mediterranean
150012,43069,7,Western Mediterranean
150012,43073,7,Western Mediterranean
150012,43075,7,Western Mediterranean
150012,47839,15,Caribbean & Central America
150012,47841,7,Caribbean & Central America
150012,47843,7,Caribbean & Central America
150012,47847,7,Caribbean & Central America
150012,47849,7,Caribbean & Central America
150012,47851,7,Caribbean & Central America
150012,47875,7,Caribbean & Central America
150012,47877,7,Caribbean & Central America
150012,47879,7,Caribbean & Central America
150012,47881,13,Caribbean & Central America
150012,42731,7,Western Mediterranean
150012,42733,7,Western Mediterranean
150012,42735,7,Western Mediterranean
150012,42727,7,Western Mediterranean
150012,42729,7,Western Mediterranean
150012,71823,7,Western Mediterranean
150012,71825,7,Western Mediterranean
150012,71839,7,Western Mediterranean
150012,103933,15,Caribbean & Central America
150012,103945,7,Western Mediterranean
150012,103947,7,Western Mediterranean
150012,103987,7,Caribbean & Central America
150012,103989,7,Caribbean & Central America
150012,42469,7,Western Mediterranean
150012,42471,7,Western Mediterranean
150012,42473,7,Western Mediterranean
150012,42475,7,Western Mediterranean
150012,43255,7,Western Mediterranean
150012,43261,7,Western Mediterranean
150012,43733,7,Western Mediterranean
150012,43735,7,Western Mediterranean
150012,43737,7,Western Mediterranean
150012,43739,7,Western Mediterranean
150012,43749,7,Western Mediterranean
150012,43805,7,Western Mediterranean
150012,43807,7,Western Mediterranean
150012,43809,7,Western Mediterranean
150012,160123,7,Caribbean & Central America
150012,160125,7,Caribbean & Central America
150012,160127,7,Caribbean & Central America
150012,66179,7,Caribbean & Central America
150012,66181,7,Caribbean & Central America
150012,120459,7,Western Mediterranean
150012,120467,7,Western Mediterranean
150012,66107,7,Caribbean & Central America
150012,66177,7,Caribbean & Central America
150012,120475,7,Western Mediterranean
