ID,NAME,LATITUDE,LONGITUDE
L25266,SKJOLDEN,61.4905159,7.6005767
L27761,GIJON,43.5420655,-5.6645302
L29645,HAUGESUND,59.412270759,5.25682891
CMS003,BREST,48.390394,-4.486076
L34781,ELBA,42.7781867,10.1927389
002845,TARRAGONA,41.1166667,1.25
L38041,MINDELO,16.886,-24.988
L38042,TRUJILLO,15.9116789,-85.9534465
L38049,KINGS WHARF,32.318293,-64.842853
L39802,ERMOUPOLI,37.441764,24.940491
002636,SPLIT,43.508330217,16.440115443
L42265,PORT ZAYED,24.52059,54.396919
L42266,PORT RASHID,25.274397899,55.289390587
002111,PORT SULTAN QABOOS,23.593353896,58.566632332
L42262,KHASAB,26.204423,56.249864
L44064,BREMERHAVEN,53.540938,8.580942
L44068,PIOMBINO,42.922709,10.543228
L44069,TARANTO,40.465561,17.247381
L44071,HARSTAD,68.800347,16.54145
001181,CASTRIES,14.0101094,-60.9874687
L46050,SAN JUAN,18.466703,-66.106787
L46052,SANTO TOMAS DE CASTILLA,15.690176,-88.620469
000703,NASSAU,25.048122,-77.355404
002272,ST THOMAS,18.347376,-64.935364
L47106,ST NAZAIRE,47.267732214,-2.201059227
L47107,PORTO TORRES,40.839952664,8.397262735
L47118,BODO,67.288314029,14.394723082
L47222,ROSENDAL,59.9858957,6.0115682
002847,SOUTHAMPTON,50.895589528,-1.405063609
L47722,ROSTOCK,54.0924406,12.0991466
L48462,PORT BLAIR,11.6233774,92.7264828
L48463,PHU MY,10.5905345,107.0480378
L48467,SIHANOUKVILLE,10.6253016,103.5233963
L48471,SABANG,5.8926053,95.3237608
L48482,MANGALORE,12.913974381,74.856643446
L48483,MALACCA,2.189594,102.2500868
L48486,LAEM CHABANG,13.1040552,100.9158073
L48488,PORT KLANG,2.999852,101.39283
004476,COCHIN,9.9312328,76.2673041
L48490,MORMUGAO,15.3874352,73.8154394
L48492,SIR BANI YAS,24.311364,52.5959129
001629,NAPLES (FOR POMPEII & CAPRI),40.851670035,14.267635345
