ID,NAME
47877,Tropical Delights
47879,Tropical Sands and Sunsets
47881,Transatlantic Discovery 
42731,Mediterranean Secrets
42733,Magic of Spain
42735,Highlights of the Mediterranean
42727,Highlights of the Mediterranean
42729,Cosmopolitan Classics
71823,Highlights of the Mediterranean
71825,Magic of Spain
71839,Highlights of the Mediterranean
103933,Tropical Escape
103945,Highlights of the Mediterranean
103947,Highlights of the Mediterranean
103987,Seven Shores
103989,Seven Shores
42469,Highlights of the Mediterranean
42471,Cosmopolitan Classics
42473,Highlights of the Mediterranean
42475,Magic of Spain
43255,Highlights of the Mediterranean
43261,Magic of Spain
43733,Highlights of the Mediterranean
43735,Magic of Spain
43737,Cosmopolitan Classics
43739,Mediterranean Secrets
43749,Highlights of the Mediterranean
43805,Highlights of the Mediterranean
43807,Magic of Spain
43809,Cosmopolitan Classics
160123,Paradise Islands
160125,Paradise Islands
160127,Paradise Islands
66179,Paradise Islands
66181,Paradise Islands
120459,Highlights of the Mediterranean
120467,Magic of Spain
66107,Seven Shores
66177,Paradise Islands
120475,Cosmopolitan Classics
120483,Mediterranean Secrets
121087,Highlights of the Mediterranean
121095,Highlights of the Mediterranean
164205,Highlights of the Mediterranean
164215,Magic of Spain
71927,Seven Shores
71929,Paradise Islands
71931,Tropical Delights
71933,Tropical Sands and Sunsets
71935,Tropical Escape
71937,Transatlantic Discovery 
72033,Highlights of the Mediterranean
72035,Magic of Spain
164225,Cosmopolitan Classics
164235,Mediterranean Secrets
104181,Seven Shores
104183,Paradise Islands
104185,Tropical Delights
104187,Tropical Sands and Sunsets
104189,Transatlantic Discovery 
104225,Tropical Delights
104033,Highlights of the Mediterranean
104035,Magic of Spain
101677,Highlights of the Mediterranean
101685,Magic of Spain
165319,Highlights of the Mediterranean
163747,Paradise Islands
105819,Cosmopolitan Classics
105823,Cosmopolitan Classics
105829,Cosmopolitan Classics
105831,Cosmopolitan Classics
105833,Mediterranean Secrets
105837,Mediterranean Secrets
105843,Mediterranean Secrets
105845,Mediterranean Secrets
105847,Cosmopolitan Classics
105853,Cosmopolitan Classics
106095,Cosmopolitan Classics
106097,Cosmopolitan Classics
106099,Highlights of the Mediterranean
106101,Highlights of the Mediterranean
106103,Magic of Spain
106105,Mediterranean Secrets
258209,Magic of Spain
258213,Magic of Spain
258221,Mediterranean Secrets
258225,Mediterranean Secrets
125255,Tropical Sands and Sunsets
125761,Transatlantic Discovery 
125779,Magic of Spain
125781,Cosmopolitan Classics
125791,Paradise Islands
125793,Paradise Islands
125795,Paradise Islands
125797,Paradise Islands
125799,Paradise Islands
165577,Tropical Delights
120903,Tropical Escape
259179,Highlights of the Mediterranean
259183,Highlights of the Mediterranean
259187,Highlights of the Mediterranean
259191,Highlights of the Mediterranean
259199,Magic of Spain
259205,Magic of Spain
259207,Cosmopolitan Classics
259211,Cosmopolitan Classics
154747,Cosmopolitan Classics
257587,Highlights of the Mediterranean
257591,Highlights of the Mediterranean
257597,Magic of Spain
257601,Magic of Spain
257607,Cosmopolitan Classics
257611,Cosmopolitan Classics
124935,Seven Shores
257617,Mediterranean Secrets
257621,Mediterranean Secrets
124943,Paradise Islands
124951,Tropical Delights
267395,Hidden Treasures of Europe
267397,Hidden Treasures of Europe
267399,Baltic Discovery
267401,Wonders of the Fjords
267403,Baltic Explorer
267435,Baltic Treasures
267437,European Experience
267439,Seeking the Northern Lights
267433,Fantastic Fjords
267441,Southern Escape
267443,Electric Sunsets - The 80s Cruise Weekender
267467,Wonders of the Fjords
267469,Norways Midnight Sun
267471,Baltic Capitals
267473,Fire & Ice
267475,Magnificent Fjords
259431,Seven Shores
259435,Seven Shores
115407,Cosmopolitan Classics
165329,Highlights of the Mediterranean
165339,Highlights of the Mediterranean
165349,Highlights of the Mediterranean
165367,Magic of Spain
165385,Cosmopolitan Classics
258185,Highlights of the Mediterranean
258189,Highlights of the Mediterranean
165397,Cosmopolitan Classics
258197,Cosmopolitan Classics
165409,Mediterranean Secrets
258201,Cosmopolitan Classics
125067,Seven Shores
125071,Seven Shores
125099,Tropical Delights
262469,Paradise Islands
307951,Seven Shores
307955,Paradise Islands
307959,Tropical Delights
